Player,STT,LIR,NS,A3N,TOTAL,Test,Type,Code
P2,7.0,10.0,8.0,9.0,34.0,L16-42826010,LE,"train(Worker,19,Right) harvest(2) attack(Worker,closest)"
P3,8.0,10.0,9.0,9.0,36.0,"L16x16-31696791, L16-42872936",LE,"train(Worker,9,Up) harvest(2) for(u) (attack(Worker,closest,u))"
P4,6.0,10.0,9.0,7.0,32.0,L16x16-31696801.,MP,"for(u) (harvest(3,u) train(Worker,16,Up)) attack(Worker,closest)"
P5,5.0,10.0,0.0,0.0,15.0,L16x16-31696791,ME,"for(u) (attack(Worker,closest,u)) for(u) (train(Worker,12,Right))"
P6,4.0,10.0,8.5,5.0,27.5,L16-42872928,ME,"train(Worker,9,Down) for(u) (harvest(3,u)) attack(Worker,closest)"
P7,8.0,10.0,8.0,6.0,32.0,L16x16-31696801,LE,"for(u) (harvest(3,u) train(Worker,14,Left)) attack(Worker,closest)"
P8,10.0,10.0,7.5,7.0,34.5,L16x16-31696791,MP,"for(u) (train(Worker,19,Down) harvest(1,u)) attack(Worker,closest)"
P9,5.0,10.0,9.0,9.0,33.0,L16-42825999,LE,"for(u) (train(Worker,8,Down) harvest(2,u) attack(Worker,closest,u))"
P10,9.0,10.0,9.5,2.5,31.0,L16x16-31696801,LE,"for(u) (train(Worker,9,Down) harvest(1,u) attack(Worker,closest,u))"
P11,6.0,10.0,8.0,5.0,29.0,L16-42872936,MP,"for(u) (harvest(3,u)) train(Worker,14,Right) attack(Worker,closest)"
P12,0.0,0.0,6.0,0.0,6.0,L16x16-31696803,LE,"train(Worker,8,Right) for(u) (harvest(5,u) attack(Worker,closest,u))"
P13,9.0,10.0,9.0,9.0,37.0,L16-42872925,LE,"for(u) (train(Worker,14,Right) harvest(2,u) attack(Worker,closest,u))"
P14,4.0,10.0,0.5,0.0,14.5,L16-42872928,LE,"train(Worker,3,Down) attack(Worker,closest) for(u) (train(Worker,5,Up))"
P15,7.0,10.0,10.0,1.0,28.0,L16-42825999,ME,"for(u) (train(Worker,8,Up)) harvest(1) for(u) (attack(Worker,closest,u))"
P16,6.0,10.0,7.0,2.0,25.0,L16-42872928,MP,"for(u) (harvest(4,u) attack(Worker,closest,u) train(Worker,17,EnemyDir))"
P17,9.0,10.0,9.0,5.0,33.0,L16-42872925,LE,"for(u) (harvest(1,u) attack(Worker,closest,u)) for(u) (train(Worker,9,Down))"
P18,4.0,10.0,8.0,4.5,26.5,L16-42825999,LE,"train(Worker,18,Up) harvest(2) for(u) (harvest(1,u) attack(Worker,closest,u))"
P19,6.0,10.0,9.5,1.5,27.0,L16-42826010,MP,"for(u) (harvest(1,u)) train(Worker,11,Left) for(u) (attack(Worker,closest,u))"
P20,8.0,10.0,7.5,3.5,29.0,L16x16-31696801,ME,"for(u) (harvest(1,u) train(Worker,10,Left)) for(u) (attack(Worker,closest,u))"
P21,3.5,10.0,1.0,0.0,14.5,L16x16-31696801,LE,"attack(Worker,closest) for(u) (train(Worker,2,EnemyDir)) for(u) (train(Worker,7,Up))"
P22,0.0,0.0,0.0,0.0,0.0,"L16x16-31696791, L16-42872936",LE,"harvest(6) train(Worker,19,Left) for(u) (moveaway(Worker,u) attack(Worker,closest,u))"
P23,7.0,10.0,9.0,4.5,30.5,L16x16-31696803,ME,"for(u) (train(Worker,6,Right) harvest(2,u) train(Worker,9,Left)) attack(Worker,closest)"
P24,5.0,10.0,8.5,2.0,25.5,L16x16-31696803,LE,"for(u) (harvest(1,u) attack(Worker,closest,u)) train(Worker,4,Down) train(Worker,14,Left)"
P25,10.0,10.0,8.5,8.0,36.5,L16x16-31696801,LE,"for(u) (harvest(1,u) train(Worker,11,Right) harvest(2,u)) for(u) (attack(Worker,closest,u))"
P26,6.0,10.0,8.5,2.0,26.5,L16-42872936,ME,"for(u) (if(HaveQtdUnitsHarversting(1)) (attack(Worker,closest,u) train(Worker,18,EnemyDir)) harvest(8,u))"
P27,5.0,10.0,10.0,6.0,31.0,L16-42826010,LE,"for(u) (train(Worker,16,Down)) harvest(2) for(u) (if(HaveQtdUnitsbyType(Worker,1)) (attack(Worker,closest,u)))"
P28,7.0,1.5,10.0,8.0,26.5,L16x16-31696803,MP,"if(HaveUnitsinEnemyRange(Worker)) (attack(Worker,closest)) (harvest(6) attack(Worker,strongest) train(Worker,15,EnemyDir))"
P29,0.0,0.0,0.0,0.0,0.0,L16-42872925.,ME,"for(u) (train(Worker,16,Up) harvest(6,u)) for(u) (build(Barrack,1,Down,u) attack(Worker,strongest,u) harvest(5,u)) train(Ranged,3,EnemyDir)"
P30,8.0,10.0,10.0,5.0,33.0,16-42826010,ME,"for(u) (harvest(3,u) train(Worker,9,Right) attack(Worker,closest,u)) for(u) (harvest(8,u)) for(u) (if(HaveQtdUnitsbyType(Worker,2)) (train(Worker,12,Up)))"
P31,0.0,0.0,3.5,1.0,4.5,L16-42872925,MP,"for(u) (if(HaveQtdUnitsHarversting(1)) (train(Worker,17,Down)) (harvest(2,u)) build(Barrack,4,Left,u)) for(u) (if(HaveUnitsToDistantToEnemy(Worker,7,u)) (attack(Worker,closest,u)) train(Worker,5,Left) harvest(3,u))"
P32,5.0,10.0,8.0,2.5,25.5,L16-42825999,MP,"for(u) (if(HaveUnitsinEnemyRange(Worker,u)) (attack(Worker,closest,u)) (harvest(1,u)) train(Worker,4,EnemyDir)) if(HaveUnitsToDistantToEnemy(Worker,1)) (attack(Worker,closest)) (attack(Worker,closest)) for(u) (if(HaveUnitsinEnemyRange(Worker,u)) (train(Worker,19,Down)))"
